cleaned_comment;Sentiment
bin bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Netral
korban gempa cianjur berusaha dibantu pulih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Netral
bin bantu pulihkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Positif
bin berusaha membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Positif
bin bergerak membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Positif
semangat mental korban gempa cianjur dipulihkan kembalibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Netral
bin menembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Netral
bin membantu korban gempa cianjur tdk mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Negatif
pmi distribusikan juta liter air bersih warga korban gempa cianjur;Positif
sesar aktif jabar salah satunya ditemukan pasca gempa cianjur lengkapcepatberitanya beritaterkini;Netral
tim trauma healing diterjunkan utk membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Negatif
tim trauma healing diterjunkan utk membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Negatif
piti mengirimkan bantuan korban gempa cianjur merahputihcom piti korban gempabumi cianjur;Positif
bin tembus desa terisolir bantuan warga trdampak gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Agak Negatif
proses pembangunan masjid darurat korban gempa cianjur kolaborasi orangbaik masjid siti djirzanah;Netral
terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin tembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
tim trauma healing bangkitkan semangat mental korban gempa cianjur terima kasih bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin hinga tembus desa terisolir bantuan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
makan siang dapur balita gempa cianjur telur kari cah bayam wortel nasi lunak utk bayi dijadikan nasi tim bubur targetkan dapur pmba mpasi utk bayi balita penyintas gempa cianjur sat dapur kelola;Netral
alhamdulilah semoga bin tim kesehatan membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
keren bin korban gempa cianjur bersemangat binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
ogah bngt udah buang buang duit aja mnding galang dana korban gempa cianjur lbh br mnfat lbh manusiawi;Netral
keren bin bantuan korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
terimakasih bin tim membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
keren semoga korban gempa cianjur pulih binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
klaim gempa cianjur berpotensi mencapai rp triliun;Netral
mantap bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
keren bin tembus desa terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin bermanfat korban gempa cianjur;Positif
lembaga bin membantu korban cianjur bin pedulibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
alhamdulilah bin bantuan korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
mantap bin bantu korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
apersi peduli bantuan kemanusian korban gempa cianjur;Netral
kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur suara km media kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur;Netral
news bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
news bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
news bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
news bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
info bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
info bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
info bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
info bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
mensos anak anak yatim piatu korban gempa cianjur cita cita tingi insiden insiden;Netral
bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin peduli kondisi kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
kegiatan trauma healing anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin peduli pengungsi korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin bergerak cepat pulihkan gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin peduli kemanusian korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
ratusan pengungsi korban gempa cianjur posko bantuan bin bantu kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
bin membantu korban gempa cianjur mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
badan intelijen negara terjunkan tim trauma healing kebangkitan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Negatif
ratusan pengungsi korban gempa cianjur posko bantuan bin bantuan kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
tim trauma healing bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim trauma healing bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim traumw healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
mas bukumu masuk diselamatkan pasca gempa cianjur;Netral
bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
tim posko bin bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
alhamdulilah terimakasih bin udah peduli korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
posko bantuan bin sigap bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
tim trauma healing bin bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim trauma healing bantu anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin bantuan tim trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
warga korban gempa cianjur berterima kasih bin sedah bantuan logistikbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
terimakasih bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
salah warga mewakili pengungsi korban gempa cianjur berterima kasih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
andreas insap perwakilan dinas kesehatan kabupaten cianjur senang bin melayani masyarakat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
korban gempa cianjur layanan trauma healingbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bian bantu layanan kesehatan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
cepat bin pelayanan kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
layanan kesehatan bin korban gempa cianjur diapresiasibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin kerahkan bantuan wilayah terpencil korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
bin tembus daerah terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
tim trauma healing bin bangkitkan semangat mental korban gempa cianjur keren bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim kemanusian bin sisir warga terdampak gempa cianjur hinga desa terisolir binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
terima kasih bin bergerak cepat bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
menghilangkan trauma korban gempa cianjur bin menurunkan tim trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
banga tindakan lakukan bin korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin cepat tangap bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
apresiasi bin membangkitkan semangat warga korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
tim trauma healing bangkitkan semangat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terjunkan tim trauma healing bangkitkan semangat warga korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
mantap bin kemendagri bangun posko pembuatan data kependudukan korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
tim trauma healing bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin salurkan bantuan wilayah terisolir gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Positif
bin peduli korban bencana gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin peduli korban bencana gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin terjunkan healing utk bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama;Positif
salurkan bantuan penyintas gempa cianjur jsit indonesia cianjur bangkit globalnews;Netral
mantap bin tembus desa terisolir bantu warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin membantu bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur;Agak Negatif
terjunkan tim trauma healing bangklitkan semangat mental gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin tembus desa terisolir bantuan warga gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
korban gempa cianjur layanan trauma healing mengalami trauma pasca bencana binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin terjunkan tim trauma healing membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terjunkan tim trauma healing bangkitakan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
badan intelijen negara terjunkan tim trauma healing membantu korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin pelayanan kesehatan korban pengungsi gempa cianjur posko bantuan bin pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin bantu pulihkan kecerian korban gempa cianjur keren binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
mantap bin kembalikan tawa anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
bin dirikan posko bantuan membagikan sembako layanan kesehatan warga korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin gelar kegiatan trauma healing korban bencana gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim posko bin tembus desa terisolir bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bin respon cepat korban bencana alam gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin terjunkan tim trauma healing membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terbaik lakukan trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terjunkan tim trauma healng bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
posko bantuan bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
badan intelijen negara menerjunkan tim trauma healing membantu korban gempa cianjur trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
mensos risma anak anak yatim piatu gempa cianjur cita cita tingifolow berita menarik lainya;Netral
badan intelijen negara terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
terjunkan tim trauma healing bin mencoba membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim posko bantuan bin tembus desa terisolir bantuan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin terjunkan tim trauma healing utk bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
pmi bantu kebutuhan air bersih warga korban gempa cianjur;Positif
bin tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin tembus desa terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
puluhan prajurit yonif bjw diterjunkan bersihkan puing bangunan pasca gempa cianjur;Netral
salurkan bantuan penyintas gempa cianjur jsit indonesia cianjur bangkit;Netral
bantuan kemanusian bin mengandeng mahasiswa gelar trauma healing korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur gempacianjur gempabumi cianjurberduka;Agak Negatif
bantuankemanusiandtnpapa recovery pasca gempa cianjur;Netral
mantap bin sisir daerah terpencil korban gempa cianjur pray for cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur gempacianjur gempabumi cianjurberduka;Agak Positif
korban gempa cianjur kuat lekas pulih cianjur binresponcepatbencanalam binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
mantap bin gerak cepat bantu mitigasi gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur gempacianjur gempabumi cianjurberduka;Netral
bantuan kemanusian bin mengandeng mahasiswa gelar trauma healing korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binberikandukunganyata binpedulisesama;Agak Negatif
bin berduka gempa cianjurbinresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
ngomongin kb keq gempa cianjur keq perkawinan anak presiden ramai;Netral
keren bin membuka posko kemanusian titik lokasi gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
mantap bin hinga pelosok bin bantu korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binberikandukunganyata binpedulisesama;Netral
semoga interaksi pulihkan traumatik penyintas gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
bin menerjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
